Id,SalePrice
1461,117704.84884838131
1462,153974.878625049
1463,179777.34372284336
1464,195105.5911046493
1465,211519.89566995134
1466,170016.66519431278
1467,184550.56090024835
1468,161861.13023767932
1469,194192.79485134207
1470,122013.02633845346
1471,175613.34743509474
1472,99610.03877461342
1473,97088.60629262154
1474,145329.70670571248
1475,111951.55327606936
1476,360141.30381176807
1477,255509.02111579155
1478,305731.7932413585
1479,306109.0980256027
1480,474793.65656656655
1481,332618.7584327796
1482,218299.62023405905
1483,178843.72439143455
1484,163100.57229113113
1485,197243.9283237783
1486,193422.98296428868
1487,341669.6918116349
1488,248556.2158191981
1489,196746.37932845173
1490,248633.55467003662
1491,193356.90208538837
1492,92112.52749935827
1493,188635.96371356086
1494,304658.2642060827
1495,299416.2330014237
1496,238806.88726143094
1497,179165.66475141823
1498,169796.099785478
1499,163717.47790119195
1500,159844.70061382515
1501,179164.80791458912
1502,147943.35982792787
1503,282430.2270068406
1504,246613.39847009428
1505,230223.06203790748
1506,194728.72954213226
1507,232936.88510948393
1508,202303.21763427023
1509,163558.81209678334
1510,146100.88292881512
1511,150852.52965631464
1512,173897.63061101214
1513,154754.51518921793
1514,149499.21510463182
1515,190682.6075408365
1516,152096.8415285706
1517,166443.13066700552
1518,129762.09412312656
1519,205456.8029813965
1520,131346.68563677953
1521,132705.70912358028
1522,181285.04248011787
1523,112659.13035147522
1524,129652.59879534306
1525,118733.60187411905
1526,112039.56579577632
1527,109320.79335885595
1528,142415.12812958434
1529,154391.87789846506
1530,181477.47954937283
1531,116570.45311957442
1532,95061.22124371129
1533,144137.56708486375
1534,126341.96190293149
1535,145172.59532879456
1536,111636.16490951196
1537,62328.361589982815
1538,151132.1692114192
1539,207012.73704905048
1540,97391.88894601108
1541,143964.90092578193
1542,145605.49927260051
1543,181952.0276755633
1544,87603.0797513229
1545,118975.17984223769
1546,142182.76106615868
1547,131599.40528093892
1548,140764.63178385905
1549,127979.39305730518
1550,138924.42398773492
1551,103653.29793439734
1552,138361.569722974
1553,152967.8063179177
1554,118138.10108741003
1555,168669.20407421116
1556,88430.39884529485
1557,109822.33503544048
1558,103118.34176198576
1559,72298.92931656045
1560,132414.15002385213
1561,125681.1420965512
1562,130467.00728413808
1563,119672.79996859688
1564,159935.8980817445
1565,149710.36712091556
1566,238582.22778877834
1567,77967.31661891888
1568,243621.740568276
1569,129936.25449473354
1570,140342.16352423187
1571,119093.2456878541
1572,141401.19650306716
1573,214714.99947557275
1574,122160.4144842585
1575,232839.79652761525
1576,247630.2075706062
1577,180377.21080050743
1578,166855.92874807378
1579,143176.3895288873
1580,200295.60395151604
1581,162397.73435421908
1582,128963.21721388685
1583,282334.9475878579
1584,216438.87393565025
1585,139337.40267664992
1586,63811.00818205853
1587,110133.72288923175
1588,150113.00449307947
1589,96796.68318762089
1590,129236.82187576199
1591,93105.44638785087
1592,119478.42594643089
1593,126606.60120537
1594,120995.27391878943
1595,112689.3598597173
1596,219219.81417543412
1597,203078.66485118942
1598,228434.58892443677
1599,169190.7482934209
1600,162989.12684065208
1601,64035.14198187878
1602,118484.78492867289
1603,73699.30750066027
1604,257169.2362458077
1605,233411.8386280347
1606,167068.01547538544
1607,177596.4168002804
1608,215611.2969858248
1609,176632.93639947416
1610,147197.28156548605
1611,138408.51500461166
1612,167583.27467877755
1613,162418.648715336
1614,125471.49924689501
1615,90884.20756304306
1616,77733.4708255245
1617,91117.25858107641
1618,127394.48975144955
1619,136842.12680809607
1620,149837.4402164817
1621,132311.570724535
1622,140036.84862200406
1623,247797.20022040626
1624,204110.25501049397
1625,116143.0691930898
1626,170634.02651968418
1627,191772.55983827842
1628,277415.6270719748
1629,187027.4939396532
1630,349711.52934442105
1631,240354.24253825255
1632,254711.96098983983
1633,176748.650013742
1634,182107.93262469466
1635,175171.7194683966
1636,153251.86845699773
1637,203320.54276912953
1638,177411.2277301658
1639,187168.87189248964
1640,246370.36252333704
1641,183781.13127861026
1642,247134.29806375277
1643,215625.9472495933
1644,238922.49112429775
1645,196293.98607358136
1646,159820.18474676443
1647,159548.60184386207
1648,128729.48570773719
1649,142727.72135605436
1650,112317.24991525461
1651,117682.77781558916
1652,99770.19700011994
1653,102823.36534982006
1654,142579.87071270306
1655,137776.4644170669
1656,141771.1922978722
1657,147169.6933850404
1658,145863.67817535653
1659,114816.93432929328
1660,157641.8282727462
1661,403627.45003632986
1662,411773.10384568584
1663,372047.4744737575
1664,462769.52791234833
1665,308818.6051606529
1666,334978.4901489074
1667,380901.196066884
1668,352247.8749298996
1669,319188.69843227137
1670,348440.0312670884
1671,267448.62756058434
1672,416351.9268842739
1673,293609.5051447659
1674,241964.87750204236
1675,199503.44430080598
1676,198025.0776653137
1677,220478.901167493
1678,434463.21506168257
1679,398186.3659461133
1680,334004.4036258641
1681,250849.76991345864
1682,324176.7163132392
1683,189293.17786216436
1684,171249.81511539948
1685,174070.14875718512
1686,168484.62060583962
